metric_id,period,actual_value,target_value,variance_pct,status,last_updated,data_quality_flag
REV001,Q4 2023,69.18,72.25,,Off Track,2026-01-28,Valid
REV001,Q1 2024,72.1,75.65,,Off Track,2026-01-28,Needs Review
REV001,Q2 2024,77.79,79.05,,At Risk,2026-01-28,Valid
REV001,Q3 2024,82.64,82.45,,On Track,2026-01-28,Valid
REV001,Q4 2024,83.71,85.0,-1.52,On Track,2026-01-28,Valid
REV002,Q4 2023,54.94,61.2,,Off Track,2026-01-28,Valid
REV002,Q1 2024,60.76,64.08,,Off Track,2026-01-28,Needs Review
REV002,Q2 2024,64.07,66.96,,At Risk,2026-01-28,Needs Review
REV002,Q3 2024,66.77,69.84,,At Risk,2026-01-28,Valid
REV002,Q4 2024,71.97,72.0,-0.04,On Track,2026-01-28,Needs Review
REV003,Q4 2023,12.68,12.75,,Off Track,2026-01-28,Valid
REV003,Q1 2024,14.07,13.35,,At Risk,2026-01-28,Valid
REV003,Q2 2024,15.88,13.95,,On Track,2026-01-28,Needs Review
REV003,Q3 2024,15.48,14.55,,On Track,2026-01-28,Valid
REV003,Q4 2024,14.39,15.0,-4.09,On Track,2026-01-28,Valid
PROF001,Q4 2023,64.47,57.8,,At Risk,2026-01-28,Needs Review
PROF001,Q1 2024,64.76,60.52,,On Track,2026-01-28,Valid
PROF001,Q2 2024,67.72,63.24,,On Track,2026-01-28,Valid
PROF001,Q3 2024,66.57,65.96,,On Track,2026-01-28,Valid
PROF001,Q4 2024,66.27,68.0,-2.54,On Track,2026-01-28,Valid
PROF002,Q4 2023,19.04,18.7,,At Risk,2026-01-28,Valid
PROF002,Q1 2024,19.11,19.58,,At Risk,2026-01-28,Valid
PROF002,Q2 2024,20.13,20.46,,At Risk,2026-01-28,Valid
PROF002,Q3 2024,20.69,21.34,,At Risk,2026-01-28,Valid
PROF002,Q4 2024,21.86,22.0,-0.64,On Track,2026-01-28,Needs Review
PROF003,Q4 2023,24.15,23.8,,At Risk,2026-01-28,Valid
PROF003,Q1 2024,24.62,24.92,,At Risk,2026-01-28,Needs Review
PROF003,Q2 2024,26.6,26.04,,At Risk,2026-01-28,Valid
PROF003,Q3 2024,26.77,27.16,,On Track,2026-01-28,Valid
PROF003,Q4 2024,27.64,28.0,-1.29,On Track,2026-01-28,Valid
CUST001,Q4 2023,1432.55,1020.0,,On Track,2026-01-28,Needs Review
CUST001,Q1 2024,1431.12,1068.0,,On Track,2026-01-28,Valid
CUST001,Q2 2024,1319.64,1116.0,,On Track,2026-01-28,Valid
CUST001,Q3 2024,1252.92,1164.0,,On Track,2026-01-28,Valid
CUST001,Q4 2024,1229.91,1200.0,2.49,On Track,2026-01-28,Valid
CUST002,Q4 2023,12877.7,12750.0,,At Risk,2026-01-28,Valid
CUST002,Q1 2024,13857.65,13350.0,,At Risk,2026-01-28,Valid
CUST002,Q2 2024,13643.45,13950.0,,At Risk,2026-01-28,Needs Review
CUST002,Q3 2024,14212.17,14550.0,,At Risk,2026-01-28,Valid
CUST002,Q4 2024,14958.66,15000.0,-0.28,On Track,2026-01-28,Valid
CUST003,Q4 2023,48.71,46.75,,At Risk,2026-01-28,Valid
CUST003,Q1 2024,50.17,48.95,,At Risk,2026-01-28,Valid
CUST003,Q2 2024,51.88,51.15,,At Risk,2026-01-28,Valid
CUST003,Q3 2024,52.68,53.35,,On Track,2026-01-28,Needs Review
CUST003,Q4 2024,52.4,55.0,-4.72,On Track,2026-01-28,Valid
CUST004,Q4 2023,3.15,2.12,,On Track,2026-01-28,Valid
CUST004,Q1 2024,2.87,2.22,,On Track,2026-01-28,Needs Review
CUST004,Q2 2024,2.76,2.32,,On Track,2026-01-28,Valid
CUST004,Q3 2024,2.62,2.42,,On Track,2026-01-28,Valid
CUST004,Q4 2024,2.41,2.5,-3.53,On Track,2026-01-28,Valid
OPS001,Q4 2023,100.56,84.96,,On Track,2026-01-28,Valid
OPS001,Q1 2024,99.16,88.96,,On Track,2026-01-28,Valid
OPS001,Q2 2024,98.59,92.95,,On Track,2026-01-28,Valid
OPS001,Q3 2024,101.17,96.95,,On Track,2026-01-28,Valid
OPS001,Q4 2024,102.02,99.95,2.07,On Track,2026-01-28,Valid
OPS002,Q4 2023,188.45,127.5,,On Track,2026-01-28,Valid
OPS002,Q1 2024,169.11,133.5,,On Track,2026-01-28,Valid
OPS002,Q2 2024,161.0,139.5,,On Track,2026-01-28,Valid
OPS002,Q3 2024,156.03,145.5,,On Track,2026-01-28,Valid
OPS002,Q4 2024,150.89,150.0,0.59,On Track,2026-01-28,Valid
OPS003,Q4 2023,5.15,3.4,,On Track,2026-01-28,Valid
OPS003,Q1 2024,4.78,3.56,,On Track,2026-01-28,Needs Review
OPS003,Q2 2024,4.4,3.72,,On Track,2026-01-28,Valid
OPS003,Q3 2024,4.1,3.88,,On Track,2026-01-28,Needs Review
OPS003,Q4 2024,3.96,4.0,-0.92,On Track,2026-01-28,Valid
EMP001,Q4 2023,7.6,6.97,,At Risk,2026-01-28,Valid
EMP001,Q1 2024,7.59,7.3,,At Risk,2026-01-28,Valid
EMP001,Q2 2024,7.96,7.63,,On Track,2026-01-28,Valid
EMP001,Q3 2024,8.06,7.95,,On Track,2026-01-28,Valid
EMP001,Q4 2024,8.0,8.2,-2.49,On Track,2026-01-28,Valid
EMP002,Q4 2023,15.31,10.2,,On Track,2026-01-28,Needs Review
EMP002,Q1 2024,14.53,10.68,,On Track,2026-01-28,Valid
EMP002,Q2 2024,13.19,11.16,,On Track,2026-01-28,Valid
EMP002,Q3 2024,13.2,11.64,,On Track,2026-01-28,Valid
EMP002,Q4 2024,11.47,12.0,-4.45,On Track,2026-01-28,Valid
EMP003,Q4 2023,89.45,80.75,,At Risk,2026-01-28,Valid
EMP003,Q1 2024,90.16,84.55,,At Risk,2026-01-28,Valid
EMP003,Q2 2024,91.45,88.35,,On Track,2026-01-28,Valid
EMP003,Q3 2024,94.17,92.15,,On Track,2026-01-28,Valid
EMP003,Q4 2024,91.22,95.0,-3.98,On Track,2026-01-28,Valid
PROD001,Q4 2023,37.83,38.25,,Off Track,2026-01-28,Needs Review
PROD001,Q1 2024,40.29,40.05,,At Risk,2026-01-28,Needs Review
PROD001,Q2 2024,43.24,41.85,,On Track,2026-01-28,Needs Review
PROD001,Q3 2024,43.54,43.65,,On Track,2026-01-28,Valid
PROD001,Q4 2024,44.27,45.0,-1.62,On Track,2026-01-28,Valid
PROD002,Q4 2023,4.95,6.8,,Off Track,2026-01-28,Needs Review
PROD002,Q1 2024,6.11,7.12,,Off Track,2026-01-28,Valid
PROD002,Q2 2024,7.05,7.44,,At Risk,2026-01-28,Needs Review
PROD002,Q3 2024,6.93,7.76,,At Risk,2026-01-28,Valid
PROD002,Q4 2024,8.08,8.0,1.03,On Track,2026-01-28,Valid
FIN001,Q4 2023,42.08,29.75,,On Track,2026-01-28,Valid
FIN001,Q1 2024,40.77,31.15,,On Track,2026-01-28,Needs Review
FIN001,Q2 2024,37.47,32.55,,On Track,2026-01-28,Valid
FIN001,Q3 2024,35.76,33.95,,On Track,2026-01-28,Valid
FIN001,Q4 2024,34.73,35.0,-0.78,On Track,2026-01-28,Valid
FIN002,Q4 2023,1.75,1.7,,At Risk,2026-01-28,Valid
FIN002,Q1 2024,1.86,1.78,,At Risk,2026-01-28,Needs Review
FIN002,Q2 2024,1.91,1.86,,On Track,2026-01-28,Valid
